message,annotations
i feel so disillusioned with how things are going right now.,"('i feel so disillusioned with how things are going right now.', {'entities': [(10, 23, 'EMOTION_WORD')]})"
at least i'm not dealing with disillusionment anymore tho.,"(""at least i'm not dealing with disillusionment anymore tho."", {'entities': []})"
i disliked that movie so much.,"('i disliked that movie so much.', {'entities': [(2, 10, 'EMOTION_WORD')]})"
ya gotta dislike the rain when it keeps ruining picnics.,"('ya gotta dislike the rain when it keeps ruining picnics.', {'entities': []})"
i'm feeling kinda dismal after that test.,"(""i'm feeling kinda dismal after that test."", {'entities': [(18, 24, 'EMOTION_WORD')]})"
tommy looked so dismally sad when he found out.,"('tommy looked so dismally sad when he found out.', {'entities': []})"
seeing the garden all wilted left me quite dismayed.,"('seeing the garden all wilted left me quite dismayed.', {'entities': [(43, 51, 'EMOTION_WORD')]})"
"i'm not letting this dismay me any further though, got it under control!","(""i'm not letting this dismay me any further though, got it under control!"", {'entities': []})"
i felt so bad when they disparaged my work today.,"('i felt so bad when they disparaged my work today.', {'entities': []})"
at least nobody disparages our team anymore.,"('at least nobody disparages our team anymore.', {'entities': []})"
feeling kind of dispirited after that long meeting.,"('feeling kind of dispirited after that long meeting.', {'entities': [(16, 26, 'EMOTION_WORD')]})"
john looked so dispiritedly at his report card today.,"('john looked so dispiritedly at his report card today.', {'entities': []})"
i was so displeased when my ice cream fell on the ground,"('i was so displeased when my ice cream fell on the ground', {'entities': [(9, 19, 'EMOTION_WORD')]})"
do u think he was talking about his displeasure with the video game being too hard?,"('do u think he was talking about his displeasure with the video game being too hard?', {'entities': []})"
getting in trouble at school was really disquieting for me yesterday.,"('getting in trouble at school was really disquieting for me yesterday.', {'entities': [(40, 51, 'EMOTION_WORD')]})"
but today doesn't disquiet me at all since it's just a fun field trip!,"(""but today doesn't disquiet me at all since it's just a fun field trip!"", {'entities': []})"
yesterday was kinda dissatisfying with that stupid game.,"('yesterday was kinda dissatisfying with that stupid game.', {'entities': [(20, 33, 'EMOTION_WORD')]})"
i think sarah's always dissatisfied when we lose.,"(""i think sarah's always dissatisfied when we lose."", {'entities': []})"
i felt really distraught when i lost my backpack at school yesterday.,"('i felt really distraught when i lost my backpack at school yesterday.', {'entities': [(14, 24, 'EMOTION_WORD')]})"
my friend was super distraughtness when his hamster ran away.,"('my friend was super distraughtness when his hamster ran away.', {'entities': []})"
"always been distrustful of them new gadgets, ya know?","('always been distrustful of them new gadgets, ya know?', {'entities': [(12, 23, 'EMOTION_WORD')]})"
do ya think he distrusts everybody like that?,"('do ya think he distrusts everybody like that?', {'entities': []})"
"i felt so doleful when you left yesterday, it was hard to say goodbye.","('i felt so doleful when you left yesterday, it was hard to say goodbye.', {'entities': [(10, 17, 'EMOTION_WORD')]})"
"i guess i should be more dolefulness about missing you, but i'm trying to stay positive.","(""i guess i should be more dolefulness about missing you, but i'm trying to stay positive."", {'entities': []})"
i was doting on my lil pup all day,"('i was doting on my lil pup all day', {'entities': [(6, 12, 'EMOTION_WORD')]})"
ain't no dotes left in me today,"(""ain't no dotes left in me today"", {'entities': []})"
feeling so down since the news,"('feeling so down since the news', {'entities': [(11, 15, 'EMOTION_WORD')]})"
did you fall down again?,"('did you fall down again?', {'entities': []})"
"feeling downhearted today, kinda like walking through fog.","('feeling downhearted today, kinda like walking through fog.', {'entities': [(8, 19, 'EMOTION_WORD')]})"
she was the picture of downheartedness when we talked yesterday.,"('she was the picture of downheartedness when we talked yesterday.', {'entities': []})"
"feeling so downtrodden today, like nothing's going right.","(""feeling so downtrodden today, like nothing's going right."", {'entities': [(11, 22, 'EMOTION_WORD')]})"
"she looked really downtroddenness after that meeting, poor thing.","('she looked really downtroddenness after that meeting, poor thing.', {'entities': []})"
i was dreading that math test all week!,"('i was dreading that math test all week!', {'entities': [(6, 14, 'EMOTION_WORD')]})"
"but hey, it wasn't dreadful at all! 😅","(""but hey, it wasn't dreadful at all! 😅"", {'entities': []})"
i was totally dumbfounded when i saw the surprise party.,"('i was totally dumbfounded when i saw the surprise party.', {'entities': [(14, 25, 'EMOTION_WORD')]})"
i guess being dumbfound is what happens when you don't see things coming.,"(""i guess being dumbfound is what happens when you don't see things coming."", {'entities': []})"
so eager to see the concert tonight!,"('so eager to see the concert tonight!', {'entities': [(3, 8, 'EMOTION_WORD')]})"
not eagerly waiting for my math test results tbh.,"('not eagerly waiting for my math test results tbh.', {'entities': []})"
life's full of ebullience right now!,"(""life's full of ebullience right now!"", {'entities': [(15, 25, 'EMOTION_WORD')]})"
do u think jess was ebullient at the party?,"('do u think jess was ebullient at the party?', {'entities': []})"
i'm feeling super ecstatic right now after the game!,"(""i'm feeling super ecstatic right now after the game!"", {'entities': [(18, 26, 'EMOTION_WORD')]})"
"lol, i'm defs not in ecstasy about doing homework tonight.","(""lol, i'm defs not in ecstasy about doing homework tonight."", {'entities': []})"
i'm feeling kinda edgier today for no reason lol.,"(""i'm feeling kinda edgier today for no reason lol."", {'entities': [(18, 24, 'EMOTION_WORD')]})"
have you ever been the edgiest person in a room just cuz you wore black?,"('have you ever been the edgiest person in a room just cuz you wore black?', {'entities': []})"
i was so elated when i got my new bike!,"('i was so elated when i got my new bike!', {'entities': [(9, 15, 'EMOTION_WORD')]})"
imagine how elating it would be to win the big soccer game tomorrow.,"('imagine how elating it would be to win the big soccer game tomorrow.', {'entities': []})"
i was so embarrassed when i tripped in front of everyone!,"('i was so embarrassed when i tripped in front of everyone!', {'entities': [(9, 20, 'EMOTION_WORD')]})"
at least it wasn't embarrassing like falling in the cafeteria last week.,"(""at least it wasn't embarrassing like falling in the cafeteria last week."", {'entities': []})"
i was so enamored when i saw my new puppy!,"('i was so enamored when i saw my new puppy!', {'entities': [(9, 17, 'EMOTION_WORD')]})"
"one day, i might be enamoring with a cute kitten too!","('one day, i might be enamoring with a cute kitten too!', {'entities': []})"
i was totally enchanted by the art show last night!,"('i was totally enchanted by the art show last night!', {'entities': [(14, 23, 'EMOTION_WORD')]})"
"but tbh, today’s lecture didn’t enchant me at all.","('but tbh, today’s lecture didn’t enchant me at all.', {'entities': []})"
u totally encouraged me at the game today.,"('u totally encouraged me at the game today.', {'entities': [(10, 20, 'EMOTION_WORD')]})"
i think it would be so cool if everyone was super encouraging at our next game too!,"('i think it would be so cool if everyone was super encouraging at our next game too!', {'entities': []})"
"do you know what ""endears"" even means?","('do you know what ""endears"" even means?', {'entities': []})"
"loved the movie last night, totally enjoyed it!","('loved the movie last night, totally enjoyed it!', {'entities': [(0, 5, 'EMOTION_WORD'), (36, 43, 'EMOTION_WORD')]})"
not really enjoying this homework though.,"('not really enjoying this homework though.', {'entities': []})"
"y'all, the party last night was so enlivening, i can't stop thinking about it!","(""y'all, the party last night was so enlivening, i can't stop thinking about it!"", {'entities': [(35, 45, 'EMOTION_WORD')]})"
"but today, it's like all the enlivenment just vanished, and i'm back to being bored.","(""but today, it's like all the enlivenment just vanished, and i'm back to being bored."", {'entities': []})"
can't shake this enmity with old pal.,"(""can't shake this enmity with old pal."", {'entities': [(17, 23, 'EMOTION_WORD')]})"
what if i had no enmity's all these years?,"(""what if i had no enmity's all these years?"", {'entities': []})"
my heart was raging when i lost my hat in the wind yesterday.,"('my heart was raging when i lost my hat in the wind yesterday.', {'entities': [(13, 19, 'EMOTION_WORD')]})"
looks like daisy was all enraged about her missing slippers this morning.,"('looks like daisy was all enraged about her missing slippers this morning.', {'entities': []})"
"i was so enraptured by the fireworks last night, it was awesome!","('i was so enraptured by the fireworks last night, it was awesome!', {'entities': [(9, 19, 'EMOTION_WORD')]})"
i'm not getting any enrapturement from this boring movie.,"(""i'm not getting any enrapturement from this boring movie."", {'entities': []})"
omg i was totally enthralled by that movie!,"('omg i was totally enthralled by that movie!', {'entities': [(18, 28, 'EMOTION_WORD')]})"
sam enthralls everyone with his awesome guitar skills!,"('sam enthralls everyone with his awesome guitar skills!', {'entities': []})"
i'm so enthusiastic about going to the concert tonight!,"(""i'm so enthusiastic about going to the concert tonight!"", {'entities': [(7, 19, 'EMOTION_WORD')]})"
i guess we should look more enthused for the family photo later.,"('i guess we should look more enthused for the family photo later.', {'entities': []})"
feeling so entitled when i got to eat the last slice of pizza today!,"('feeling so entitled when i got to eat the last slice of pizza today!', {'entities': []})"
imagine if we had a dog that entitles me to cuddle whenever i feel sad.,"('imagine if we had a dog that entitles me to cuddle whenever i feel sad.', {'entities': []})"
omg so i was like totally entranced by that magic trick!,"('omg so i was like totally entranced by that magic trick!', {'entities': [(26, 35, 'EMOTION_WORD')]})"
"imagine if i could do that, it would be so entrancing at the party!","('imagine if i could do that, it would be so entrancing at the party!', {'entities': []})"
"i was so envious when i saw her new phone, it's so cool!","(""i was so envious when i saw her new phone, it's so cool!"", {'entities': [(9, 16, 'EMOTION_WORD')]})"
"jake totally envies ben's skills at soccer, he talks about it all the time.","(""jake totally envies ben's skills at soccer, he talks about it all the time."", {'entities': []})"
kinda hard to stay equanimous after all this drama today.,"('kinda hard to stay equanimous after all this drama today.', {'entities': []})"
"jane handled the chaos equanimously, as usual.","('jane handled the chaos equanimously, as usual.', {'entities': []})"
"feelin' pure euphoria today, just like a kid again","(""feelin' pure euphoria today, just like a kid again"", {'entities': [(13, 21, 'EMOTION_WORD')]})"
he's all euphoric 'bout his new garden tools,"(""he's all euphoric 'bout his new garden tools"", {'entities': []})"
"the math homework is so exasperating, it feels like it's never gonna end!","(""the math homework is so exasperating, it feels like it's never gonna end!"", {'entities': [(24, 36, 'EMOTION_WORD')]})"
why do you think my dog exasperates my mom every time he digs in the garden?,"('why do you think my dog exasperates my mom every time he digs in the garden?', {'entities': []})"
i'm so excited about the party tonight!,"(""i'm so excited about the party tonight!"", {'entities': [(7, 14, 'EMOTION_WORD')]})"
i don't feel any excitement when i think about tomorrow's meeting.,"(""i don't feel any excitement when i think about tomorrow's meeting."", {'entities': []})"
i felt so exhilarated when i saw the kids playing in the park today.,"('i felt so exhilarated when i saw the kids playing in the park today.', {'entities': [(10, 21, 'EMOTION_WORD')]})"
did your granddaughter say she finds knitting exhilarating?,"('did your granddaughter say she finds knitting exhilarating?', {'entities': []})"
"wow, today was so exuberant, like a party in my head!","('wow, today was so exuberant, like a party in my head!', {'entities': [(18, 27, 'EMOTION_WORD')]})"
"imagine feeling all that exuberance next time we hang out, it'd be epic!","(""imagine feeling all that exuberance next time we hang out, it'd be epic!"", {'entities': []})"
was so exultant when i found out we don’t have a test tomorrow!,"('was so exultant when i found out we don’t have a test tomorrow!', {'entities': [(7, 15, 'EMOTION_WORD')]})"
not really exulting about having to do all this homework tho.,"('not really exulting about having to do all this homework tho.', {'entities': []})"
i was fascinated by that old movie we watched.,"('i was fascinated by that old movie we watched.', {'entities': [(6, 16, 'EMOTION_WORD')]})"
i'm not finding this new show very fascinating.,"(""i'm not finding this new show very fascinating."", {'entities': []})"
i'm so fed up with all this homework!,"(""i'm so fed up with all this homework!"", {'entities': [(7, 13, 'EMOTION_WORD')]})"
are you fed up with the game or what?,"('are you fed up with the game or what?', {'entities': []})"
i was ferociously happy when i got that concert ticket!,"('i was ferociously happy when i got that concert ticket!', {'entities': [(18, 23, 'EMOTION_WORD')]})"
she showed such ferociousness when she played in the game today.,"('she showed such ferociousness when she played in the game today.', {'entities': []})"
getting fired up over this game rn.,"('getting fired up over this game rn.', {'entities': [(8, 16, 'EMOTION_WORD')]})"
emma said it totally fires her up to be on stage.,"('emma said it totally fires her up to be on stage.', {'entities': []})"
i am flabbergasted u called!,"('i am flabbergasted u called!', {'entities': [(5, 18, 'EMOTION_WORD')]})"
i ain't flabbergasting no more.,"(""i ain't flabbergasting no more."", {'entities': []})"
"wow, that movie totally floored me, it was so good!","('wow, that movie totally floored me, it was so good!', {'entities': [(24, 31, 'EMOTION_WORD')]})"
"sarah was flooring it on the skate ramp, she was so happy.","('sarah was flooring it on the skate ramp, she was so happy.', {'entities': []})"
yesterday's math quiz totally flustered me!,"(""yesterday's math quiz totally flustered me!"", {'entities': [(30, 39, 'EMOTION_WORD')]})"
"but don't worry, i promise i'm definitely not getting flusteration over this new homework.","(""but don't worry, i promise i'm definitely not getting flusteration over this new homework."", {'entities': []})"
i feel fond of this place.,"('i feel fond of this place.', {'entities': [(7, 11, 'EMOTION_WORD')]})"
not feeling any fondness today.,"('not feeling any fondness today.', {'entities': []})"
"had bad dreams, kept thinkin' bout foreboding stuff.","(""had bad dreams, kept thinkin' bout foreboding stuff."", {'entities': [(35, 45, 'EMOTION_WORD')]})"
why does the news always forebode trouble?,"('why does the news always forebode trouble?', {'entities': []})"
i don't think i can easily forgive my brother for breaking my toy.,"(""i don't think i can easily forgive my brother for breaking my toy."", {'entities': []})"
"mom forgives him all the time, even if he doesn't say sorry.","(""mom forgives him all the time, even if he doesn't say sorry."", {'entities': []})"
why does everything gotta be so forlorn today?,"('why does everything gotta be so forlorn today?', {'entities': [(32, 39, 'EMOTION_WORD')]})"
even the dog sat forlornly by the window watching the rain.,"('even the dog sat forlornly by the window watching the rain.', {'entities': []})"
"feeling so forsaken today, nothing's going right.","(""feeling so forsaken today, nothing's going right."", {'entities': [(11, 19, 'EMOTION_WORD')]})"
"but don't worry, i ain't forsaking you like my bad luck did.","(""but don't worry, i ain't forsaking you like my bad luck did."", {'entities': []})"
i felt so frantic this morning.,"('i felt so frantic this morning.', {'entities': [(10, 17, 'EMOTION_WORD')]})"
she is acting frantically about the lost dog.,"('she is acting frantically about the lost dog.', {'entities': []})"
i feel so frazzled today.,"('i feel so frazzled today.', {'entities': [(10, 18, 'EMOTION_WORD')]})"
did you see her all frazzling like that?,"('did you see her all frazzling like that?', {'entities': []})"
"you wouldn't believe it, but that storm freaks me out bad.","(""you wouldn't believe it, but that storm freaks me out bad."", {'entities': [(40, 53, 'EMOTION_WORD')]})"
tomorrow's meeting gotta freak us out big time.,"(""tomorrow's meeting gotta freak us out big time."", {'entities': []})"
i've been fretting about this exam all week.,"(""i've been fretting about this exam all week."", {'entities': [(10, 18, 'EMOTION_WORD')]})"
"if i ever fret over something like this again, remind me to chill out.","('if i ever fret over something like this again, remind me to chill out.', {'entities': []})"
i'm so happy u r so friendly to me!,"(""i'm so happy u r so friendly to me!"", {'entities': [(7, 12, 'EMOTION_WORD')]})"
i think sarah is even friendlier when she laughs!,"('i think sarah is even friendlier when she laughs!', {'entities': []})"
i was so frightened when the dog barked at me!,"('i was so frightened when the dog barked at me!', {'entities': [(9, 19, 'EMOTION_WORD')]})"
i think it would be frightening to see a big monster at night!,"('i think it would be frightening to see a big monster at night!', {'entities': []})"
"i felt so frisky last night, couldn't stop laughing.","(""i felt so frisky last night, couldn't stop laughing."", {'entities': [(10, 16, 'EMOTION_WORD')]})"
imagine if we went out and got even friskier tomorrow!,"('imagine if we went out and got even friskier tomorrow!', {'entities': []})"
"feeling so fulfilled after that game last night, it was epic!","('feeling so fulfilled after that game last night, it was epic!', {'entities': [(11, 20, 'EMOTION_WORD')]})"
"looks like alex fulfills his dream with that new guitar, he's super happy!","(""looks like alex fulfills his dream with that new guitar, he's super happy!"", {'entities': []})"
i was so fuming when my phone died in the middle of the game!,"('i was so fuming when my phone died in the middle of the game!', {'entities': [(9, 15, 'EMOTION_WORD')]})"
jessica fumes every time her little brother takes her stuff without asking.,"('jessica fumes every time her little brother takes her stuff without asking.', {'entities': []})"
i'm furious about the mess in the kitchen.,"(""i'm furious about the mess in the kitchen."", {'entities': [(4, 11, 'EMOTION_WORD')]})"
you should act with fury when you see it.,"('you should act with fury when you see it.', {'entities': []})"
"yesterday was such a gay day, i had so much fun!","('yesterday was such a gay day, i had so much fun!', {'entities': [(21, 24, 'EMOTION_WORD')]})"
i guess i gotta be gayer tomorrow at the party.,"('i guess i gotta be gayer tomorrow at the party.', {'entities': []})"
"i can't believe they forgot my birthday, it's really galling.","(""i can't believe they forgot my birthday, it's really galling."", {'entities': [(53, 60, 'EMOTION_WORD')]})"
she was galled when they changed the meeting time without telling her.,"('she was galled when they changed the meeting time without telling her.', {'entities': []})"
i was so galvanized when i scored that goal today!,"('i was so galvanized when i scored that goal today!', {'entities': [(9, 19, 'EMOTION_WORD')]})"
you gotta be the one who galvanizes the team for the next game!,"('you gotta be the one who galvanizes the team for the next game!', {'entities': []})"
"i was treated gently at the hospital, which was nice.","('i was treated gently at the hospital, which was nice.', {'entities': []})"
"it's not been a gentle week at work, too much stress.","(""it's not been a gentle week at work, too much stress."", {'entities': []})"
i felt giddy when i heard the news!,"('i felt giddy when i heard the news!', {'entities': [(7, 12, 'EMOTION_WORD')]})"
imagine if i get giddier than ever at the party next week!,"('imagine if i get giddier than ever at the party next week!', {'entities': []})"
seeing everyone at the party made me so glad.,"('seeing everyone at the party made me so glad.', {'entities': [(40, 44, 'EMOTION_WORD')]})"
thinking about how glad everyone might be at the reunion makes me smile.,"('thinking about how glad everyone might be at the reunion makes me smile.', {'entities': []})"
"oh what a gleeful day, makes me think of my youth!","('oh what a gleeful day, makes me think of my youth!', {'entities': [(10, 17, 'EMOTION_WORD')]})"
guess tomorrow i ought to act all glee for the grandkids.,"('guess tomorrow i ought to act all glee for the grandkids.', {'entities': []})"
"feeling gloomy today, not my best.","('feeling gloomy today, not my best.', {'entities': [(8, 14, 'EMOTION_WORD')]})"
looks like she's gloomier than ever.,"(""looks like she's gloomier than ever."", {'entities': []})"
"feeling so glum rn, just wanna stay in bed.","('feeling so glum rn, just wanna stay in bed.', {'entities': [(11, 15, 'EMOTION_WORD')]})"
i think she's glummer than i've ever seen her.,"(""i think she's glummer than i've ever seen her."", {'entities': []})"
"i felt graced to be there with all my friends yesterday, it was awesome.","('i felt graced to be there with all my friends yesterday, it was awesome.', {'entities': [(7, 13, 'EMOTION_WORD')]})"
"i guess i should be gracing my mom with a visit soon, she keeps asking.","('i guess i should be gracing my mom with a visit soon, she keeps asking.', {'entities': []})"
i was so gratified when i finally finished the puzzle!,"('i was so gratified when i finally finished the puzzle!', {'entities': [(9, 18, 'EMOTION_WORD')]})"
"hey, do you think winning the championship would gratify everyone on the team?","('hey, do you think winning the championship would gratify everyone on the team?', {'entities': []})"
"so happy mom got me ice cream, i'm so grateful for her!","(""so happy mom got me ice cream, i'm so grateful for her!"", {'entities': [(38, 46, 'EMOTION_WORD')]})"
"but bro, i ain't feeling the gratitudinous vibes from that math homework.","(""but bro, i ain't feeling the gratitudinous vibes from that math homework."", {'entities': []})"
losing my cat last week has me grieving so hard.,"('losing my cat last week has me grieving so hard.', {'entities': [(31, 39, 'EMOTION_WORD')]})"
i guess i should grieve more so i can feel better.,"('i guess i should grieve more so i can feel better.', {'entities': []})"
"i was so grouchy yesterday, sorry about that.","('i was so grouchy yesterday, sorry about that.', {'entities': [(9, 16, 'EMOTION_WORD')]})"
today i'm not feeling any of that grouchiness at all.,"(""today i'm not feeling any of that grouchiness at all."", {'entities': []})"
my feet are sticking to the ground like glue!,"('my feet are sticking to the ground like glue!', {'entities': []})"
i'm def not floating in the air like a balloon.,"(""i'm def not floating in the air like a balloon."", {'entities': []})"
got super grumpy when my game crashed mid-boss fight.,"('got super grumpy when my game crashed mid-boss fight.', {'entities': [(10, 16, 'EMOTION_WORD')]})"
"no way i'm being the grumpiest kid today, i'm gonna win this next round!","(""no way i'm being the grumpiest kid today, i'm gonna win this next round!"", {'entities': []})"
i felt so guarded yesterday at the party.,"('i felt so guarded yesterday at the party.', {'entities': [(10, 17, 'EMOTION_WORD')]})"
i need to be guarding my heart more often.,"('i need to be guarding my heart more often.', {'entities': []})"
i feel so guilty for eating the last cookie 😔<br>what if i guilted my little brother next time hehe 😅,"('i feel so guilty for eating the last cookie 😔<br>what if i guilted my little brother next time hehe 😅', {'entities': [(10, 16, 'EMOTION_WORD')]})"
i'm totally gutted about the news.,"(""i'm totally gutted about the news."", {'entities': [(12, 18, 'EMOTION_WORD')]})"
i heard mike is gutting over what happened.,"('i heard mike is gutting over what happened.', {'entities': []})"
i'm so hangry right now i could eat everything in sight.,"(""i'm so hangry right now i could eat everything in sight."", {'entities': [(7, 13, 'EMOTION_WORD')]})"
"thankfully, i'm not feeling any hangrified vibes today.","(""thankfully, i'm not feeling any hangrified vibes today."", {'entities': []})"
can't believe how happy i am today!,"(""can't believe how happy i am today!"", {'entities': [(18, 23, 'EMOTION_WORD')]})"
sarah is definitely happier since she got that new job.,"('sarah is definitely happier since she got that new job.', {'entities': []})"
"but yeah, today's chill, not feeling hardier at all.","(""but yeah, today's chill, not feeling hardier at all."", {'entities': [(18, 23, 'EMOTION_WORD')]})"
mom says our new song is harmonious and cool,"('mom says our new song is harmonious and cool', {'entities': []})"
dad looked so happy when the band harmonized yesterday,"('dad looked so happy when the band harmonized yesterday', {'entities': []})"
"ugh, i totally hate math class rn.","('ugh, i totally hate math class rn.', {'entities': [(15, 19, 'EMOTION_WORD')]})"
i wonder if hating mondays will get easier when i'm older.,"(""i wonder if hating mondays will get easier when i'm older."", {'entities': [(12, 18, 'EMOTION_WORD')]})"
i feel totally heartbroken since she left.,"('i feel totally heartbroken since she left.', {'entities': [(15, 26, 'EMOTION_WORD')]})"
he looked heartbrokenly at the old photos.,"('he looked heartbrokenly at the old photos.', {'entities': []})"
"my heart aches for home every day, miss it so much it's like i'm homesick all over again.","(""my heart aches for home every day, miss it so much it's like i'm homesick all over again."", {'entities': [(65, 73, 'EMOTION_WORD')]})"
"but don't worry, homesickness ain't getting me down today!","(""but don't worry, homesickness ain't getting me down today!"", {'entities': []})"
"i was really hopeful we could meet today, but it didn't work out.","(""i was really hopeful we could meet today, but it didn't work out."", {'entities': []})"
i hope you understand i'm expecting us to try again soon.,"(""i hope you understand i'm expecting us to try again soon."", {'entities': []})"
i felt so hopeless when i got my test scores back.,"('i felt so hopeless when i got my test scores back.', {'entities': [(10, 18, 'EMOTION_WORD')]})"
he's been acting all hopelessly since he broke up with emma.,"(""he's been acting all hopelessly since he broke up with emma."", {'entities': []})"
i was feeling so much hostility when my toy broke.,"('i was feeling so much hostility when my toy broke.', {'entities': [(22, 31, 'EMOTION_WORD')]})"
my brother looked all hostile when i took his candy.,"('my brother looked all hostile when i took his candy.', {'entities': []})"
i felt so humiliating when i tripped in front of everyone.,"('i felt so humiliating when i tripped in front of everyone.', {'entities': [(10, 21, 'EMOTION_WORD')]})"
"at least i'm not humiliated right now, haha.","(""at least i'm not humiliated right now, haha."", {'entities': []})"
my foot hurt so much today.,"('my foot hurt so much today.', {'entities': []})"
"tomorrow, i gotta be hurtful to tell them the truth.","('tomorrow, i gotta be hurtful to tell them the truth.', {'entities': []})"
got so hyped after the concert last night!,"('got so hyped after the concert last night!', {'entities': [(7, 12, 'EMOTION_WORD')]})"
everyone's saying i gotta hype up the next one too.,"(""everyone's saying i gotta hype up the next one too."", {'entities': []})"
i'm feeling so ill at ease right now.,"(""i'm feeling so ill at ease right now."", {'entities': [(15, 26, 'EMOTION_WORD')]})"
lol i'm not feeling ill at ease anymore!,"(""lol i'm not feeling ill at ease anymore!"", {'entities': []})"
got really ill-tempered today at the store,"('got really ill-tempered today at the store', {'entities': [(11, 23, 'EMOTION_WORD')]})"
"but now no ill-temper left, all good","('but now no ill-temper left, all good', {'entities': []})"
"i'm totally passionate about that new band, their music is awesome!","(""i'm totally passionate about that new band, their music is awesome!"", {'entities': [(12, 22, 'EMOTION_WORD')]})"
"i ain't feeling impassioned at all about doing homework tonight, it's so boring.","(""i ain't feeling impassioned at all about doing homework tonight, it's so boring."", {'entities': []})"
why u be so impatient sometimes?,"('why u be so impatient sometimes?', {'entities': []})"
"imagine bein all like, impatientness with no chill!","('imagine bein all like, impatientness with no chill!', {'entities': []})"
i felt so impotent when i couldn't fix it.,"(""i felt so impotent when i couldn't fix it."", {'entities': [(10, 18, 'EMOTION_WORD')]})"
i'm def not feeling impotence about this now tho.,"(""i'm def not feeling impotence about this now tho."", {'entities': []})"
i am in high spirits now!,"('i am in high spirits now!', {'entities': [(5, 20, 'EMOTION_WORD')]})"
i ain't all sad.,"(""i ain't all sad."", {'entities': []})"
i was totally in over my head with that math test today.,"('i was totally in over my head with that math test today.', {'entities': [(14, 29, 'EMOTION_WORD')]})"
"imagine if we're in over our head with that group project next week, that would be wild.","(""imagine if we're in over our head with that group project next week, that would be wild."", {'entities': []})"
i'm so incensed right now cuz my phone is broken!,"(""i'm so incensed right now cuz my phone is broken!"", {'entities': [(7, 15, 'EMOTION_WORD')]})"
tommy got all incensing when his game crashed.,"('tommy got all incensing when his game crashed.', {'entities': []})"
i was so inconsolable when my ice cream fell on the ground.,"('i was so inconsolable when my ice cream fell on the ground.', {'entities': [(9, 21, 'EMOTION_WORD')]})"
"but don't worry, i'm not feeling inconsolably sad anymore 'cause i got another one!","(""but don't worry, i'm not feeling inconsolably sad anymore 'cause i got another one!"", {'entities': []})"
i was real mad bout it yesterday,"('i was real mad bout it yesterday', {'entities': [(11, 14, 'EMOTION_WORD')]})"
"he got so much indignation, i cant believe it","('he got so much indignation, i cant believe it', {'entities': []})"
i was so infatuated with those movie stars back in the day.,"('i was so infatuated with those movie stars back in the day.', {'entities': [(9, 19, 'EMOTION_WORD')]})"
i wonder if someday i'll be infatuation's fool again.,"(""i wonder if someday i'll be infatuation's fool again."", {'entities': []})"
my heart set on fire when i saw the puppy!,"('my heart set on fire when i saw the puppy!', {'entities': []})"
i'm not gonna inflame when i do homework.,"(""i'm not gonna inflame when i do homework."", {'entities': []})"
"this game is so infuriating, i wanna throw the controller!","('this game is so infuriating, i wanna throw the controller!', {'entities': [(16, 27, 'EMOTION_WORD')]})"
"nah, it doesn't infuriate me anymore, i figured it out.","(""nah, it doesn't infuriate me anymore, i figured it out."", {'entities': []})"
i got lots of insecurities right now.,"('i got lots of insecurities right now.', {'entities': [(14, 26, 'EMOTION_WORD')]})"
"don't worry, i'm not insecure anymore.","(""don't worry, i'm not insecure anymore."", {'entities': []})"
"was so intimidated, like, for real!","('was so intimidated, like, for real!', {'entities': [(7, 18, 'EMOTION_WORD')]})"
"lol, nah, no intimidation today though!","('lol, nah, no intimidation today though!', {'entities': []})"
i'm so intrigued by the magic trick you showed me!,"(""i'm so intrigued by the magic trick you showed me!"", {'entities': [(7, 16, 'EMOTION_WORD')]})"
my friend is always talking about how cool and intriguing your pet lizard is.,"('my friend is always talking about how cool and intriguing your pet lizard is.', {'entities': []})"
got so irate when they canceled the concert last min 😡,"('got so irate when they canceled the concert last min 😡', {'entities': [(7, 12, 'EMOTION_WORD')]})"
gotta act irately if they don't fix this mess! 🙄,"(""gotta act irately if they don't fix this mess! 🙄"", {'entities': []})"
"i'm so irked, like why can't people just chill?","(""i'm so irked, like why can't people just chill?"", {'entities': [(7, 12, 'EMOTION_WORD')]})"
"he was super irksome today, like nonstop talking.","('he was super irksome today, like nonstop talking.', {'entities': [(13, 20, 'EMOTION_WORD')]})"
"ugh, my day has been so jarring!","('ugh, my day has been so jarring!', {'entities': [(24, 31, 'EMOTION_WORD')]})"
looks like he's totally jarred by what happened yesterday.,"(""looks like he's totally jarred by what happened yesterday."", {'entities': []})"
i'm super jazzed about going to the zoo today!,"(""i'm super jazzed about going to the zoo today!"", {'entities': [(10, 16, 'EMOTION_WORD')]})"
"hey, do you know who's the jazziest singer in class?","(""hey, do you know who's the jazziest singer in class?"", {'entities': []})"
i was so jealous when i saw her new car.,"('i was so jealous when i saw her new car.', {'entities': [(9, 16, 'EMOTION_WORD')]})"
maybe he will feel jealousy if i get a new car too.,"('maybe he will feel jealousy if i get a new car too.', {'entities': []})"
lol i've got the jitters about this exam tomorrow.,"(""lol i've got the jitters about this exam tomorrow."", {'entities': [(17, 24, 'EMOTION_WORD')]})"
"at least i'm not jittery like last time, so that's good!","(""at least i'm not jittery like last time, so that's good!"", {'entities': []})"
i'm feelin so jolly today.,"(""i'm feelin so jolly today."", {'entities': [(14, 19, 'EMOTION_WORD')]})"
